Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,9.703947,10.486842,8.750000,10.394737,8.265314,188591500
2015-08-01,10.592105,14.610000,8.263158,14.400000,11.450075,163555300
2015-09-01,8.967105,10.085526,7.894737,8.690789,6.910430,191382500
2015-10-01,8.835526,10.888158,8.657895,9.631579,7.658494,284298100
2015-11-01,9.736842,9.828947,8.657895,9.375000,7.454476,120033700
2015-12-01,9.434211,9.513158,8.532895,9.203947,7.318465,126340900
2016-01-01,8.910000,9.120000,6.600000,7.040000,5.597815,183150400
2016-02-01,6.840000,7.070000,5.780000,6.850000,5.453255,137749000
2016-03-01,7.120000,8.270000,7.020000,8.060000,6.416530,94820700
2016-04-01,7.760000,8.440000,6.900000,8.090000,6.440413,139373300
2016-05-01,8.250000,8.280000,6.630000,7.170000,5.708005,149844300
2016-06-01,7.070000,7.420000,5.850000,6.120000,4.872105,121704000
2016-07-01,6.280000,7.090000,5.450000,6.410000,5.102973,152922100
2016-08-01,6.410000,7.020000,6.010000,6.880000,5.477137,95245200
2016-09-01,6.820000,6.960000,6.050000,6.400000,5.095012,114585900
2016-10-01,6.370000,7.350000,6.140000,7.320000,5.827419,167778100
2016-11-01,7.440000,7.870000,6.710000,7.660000,6.098092,264447200
2016-12-01,7.720000,9.200000,7.580000,9.120000,7.260391,202901400
2017-01-01,9.630000,11.320000,9.050000,10.990000,8.749090,321167900
2017-02-01,11.040000,11.630000,10.190000,10.970000,8.733169,188088000
2017-03-01,11.030000,11.580000,10.600000,10.930000,8.701324,161620400
2017-04-01,10.940000,11.650000,9.600000,11.370000,9.051607,142938900
2017-05-01,11.390000,11.500000,10.160000,10.570000,8.414729,195909300
2017-06-01,10.670000,11.280000,10.460000,10.630000,8.462496,134455500
2017-07-01,10.990000,12.110000,10.850000,12.090000,9.624796,92037700
2017-08-01,12.170000,15.180000,11.540000,15.130000,12.044926,146110800
2017-09-01,15.510000,18.100000,15.430000,17.910000,14.258072,91156700
2017-10-01,17.809999,18.000000,16.490000,17.350000,13.812258,71782400
2017-11-01,17.639999,18.330000,16.950001,17.100000,13.613234,52258900
2017-12-01,17.100000,18.559999,16.790001,17.840000,14.202346,50624400
2018-01-01,17.889999,24.950001,17.850000,24.170000,19.241631,167271500
2018-02-01,23.750000,24.180000,20.480000,21.190001,16.869267,102052400
2018-03-01,20.969999,21.770000,19.610001,20.520000,16.335880,93449700
2018-04-01,20.430000,24.410000,19.590000,21.830000,17.378767,103299400
2018-05-01,22.129999,23.290001,20.840000,23.230000,18.493299,94700800
2018-06-01,22.799999,22.799999,18.299999,18.889999,15.038244,106259600
2018-07-01,19.030001,20.430000,16.260000,16.980000,13.517702,125021200
2018-08-01,16.889999,17.980000,15.330000,17.110001,13.621196,129549200
2018-09-01,16.799999,18.500000,16.520000,17.510000,13.939633,73099800
2018-10-01,18.139999,18.240000,14.970000,15.110000,12.029004,135567100
2018-11-01,15.490000,17.080000,15.350000,16.590000,13.207225,86960900
2018-12-01,17.040001,17.320000,14.060000,14.460000,11.511541,90236100
2019-01-01,14.030000,17.250000,14.010000,17.209999,13.700805,96402000
2019-02-01,17.120001,17.459999,14.490000,14.730000,11.726487,105592500
2019-03-01,14.960000,15.490000,14.150000,14.850000,11.822020,93624400
2019-04-01,15.070000,16.690001,15.070000,15.410000,12.267833,59062700
2019-05-01,15.530000,16.030001,12.580000,12.620000,10.512535,105625700
2019-06-01,12.620000,14.050000,12.620000,13.820000,12.618261,57063800
2019-07-01,14.050000,14.370000,12.760000,13.190000,12.043043,73959700
2019-08-01,13.270000,13.400000,12.110000,13.140000,11.997392,61195200
2019-09-01,13.130000,14.100000,12.780000,12.950000,11.823914,53119200
2019-10-01,12.960000,15.670000,12.250000,15.320000,13.987826,212882400
2019-11-01,15.830000,16.250000,14.700000,14.750000,13.467392,88594900
2019-12-01,14.780000,15.430000,14.230000,14.690000,13.412608,67661100
2020-01-01,14.980000,15.100000,12.940000,13.020000,11.887827,70382200
2020-02-01,13.030000,13.930000,11.940000,12.440000,11.358261,87128900
2020-03-01,12.160000,12.570000,6.000000,7.190000,6.564783,120449700
2020-04-01,6.940000,8.950000,6.650000,8.610000,7.861304,49936800
2020-05-01,8.430000,9.150000,7.510000,8.840000,8.840000,57122800
2020-06-01,8.990000,10.880000,8.750000,9.340000,9.340000,41802500
2020-06-15,9.070000,9.480000,9.040000,9.410000,9.410000,4449799
