Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,27.660000,27.860001,21.590000,21.600000,16.091145,1979200
2015-08-01,21.400000,22.129999,15.560000,16.190001,12.682344,2570300
2015-09-01,16.200001,19.340000,15.500000,16.820000,13.175852,1802600
2015-10-01,16.860001,19.860001,16.830000,18.540001,14.523204,922400
2015-11-01,18.580000,22.440001,18.520000,21.500000,16.841906,638600
2015-12-01,21.660000,21.900000,20.070000,20.080000,15.841285,671100
2016-01-01,19.200001,19.360001,16.049999,17.639999,13.916348,836200
2016-02-01,18.110001,18.650000,15.740000,16.770000,13.229999,644500
2016-03-01,16.879999,17.160000,15.420000,15.540000,12.259641,651700
2016-04-01,15.380000,17.000000,14.510000,15.720000,12.401644,837700
2016-05-01,16.000000,16.040001,12.180000,12.340000,9.735133,1064100
2016-06-01,12.200000,12.660000,11.600000,12.080000,9.530016,1476400
2016-07-01,12.080000,13.790000,11.310000,12.980000,10.240035,999900
2016-08-01,13.090000,14.250000,12.750000,13.340000,11.011532,677400
2016-09-01,13.650000,14.150000,13.060000,13.300000,10.978514,1759600
2016-10-01,13.380000,13.900000,12.630000,12.770000,10.541024,556900
2016-11-01,12.640000,12.860000,11.970000,12.390000,10.227353,667800
2016-12-01,12.660000,12.660000,11.750000,12.000000,10.030460,1736800
2017-01-01,12.060000,13.580000,12.060000,13.030000,10.891411,709400
2017-02-01,13.000000,13.500000,11.850000,11.940000,9.980309,779100
2017-03-01,11.960000,13.320000,11.820000,13.130000,10.974998,850900
2017-04-01,13.480000,13.900000,12.590000,12.820000,10.715877,518700
2017-05-01,12.800000,13.200000,12.240000,13.030000,10.891411,1147200
2017-06-01,13.100000,13.180000,12.550000,12.710000,10.623931,493400
2017-07-01,12.710000,12.800000,12.060000,12.310000,10.289583,652800
2017-08-01,12.360000,12.500000,10.850000,10.870000,9.475692,579600
2017-09-01,10.850000,11.110000,10.510000,10.990000,9.580299,614500
2017-10-01,10.970000,11.940000,10.900000,11.540000,10.059749,363600
2017-11-01,11.650000,12.100000,11.090000,11.310000,9.859254,385800
2017-12-01,11.120000,11.700000,10.790000,11.240000,10.070888,420000
2018-01-01,11.400000,12.070000,11.220000,11.490000,10.294884,377400
2018-02-01,11.360000,11.360000,9.760000,10.390000,9.309299,355300
2018-03-01,10.490000,10.770000,10.120000,10.250000,9.183860,175700
2018-04-01,10.220000,10.520000,8.970000,9.420000,8.440192,274000
2018-05-01,9.510000,10.860000,9.000000,10.500000,9.407858,588100
2018-06-01,10.550000,11.050000,10.320000,10.820000,9.694573,2452300
2018-07-01,10.870000,11.150000,10.030000,11.130000,9.972329,449300
2018-08-01,11.190000,13.270000,10.630000,13.080000,12.335323,459000
2018-09-01,13.130000,14.560000,13.080000,14.550000,13.721634,368900
2018-10-01,14.320000,15.270000,11.900000,12.690000,11.967527,854500
2018-11-01,12.750000,15.110000,12.680000,14.490000,13.665049,575200
2018-12-01,14.700000,14.800000,12.560000,13.400000,12.769908,459800
2019-01-01,13.140000,14.810000,12.750000,14.700000,14.008780,583300
2019-02-01,14.790000,18.520000,14.490000,18.059999,17.210787,1398100
2019-03-01,18.830000,18.850000,17.040001,17.990000,17.144077,1369100
2019-04-01,18.190001,19.040001,17.410000,18.490000,17.620567,535900
2019-05-01,18.540001,18.610001,13.850000,14.000000,13.341695,666400
2019-06-01,13.930000,15.660000,13.560000,15.480000,14.752102,542600
2019-07-01,15.730000,16.850000,15.100000,16.209999,15.447775,614900
2019-08-01,15.500000,15.870000,13.020000,13.100000,12.955739,770400
2019-09-01,12.990000,14.400000,12.990000,13.240000,13.094196,738400
2019-10-01,13.240000,14.400000,13.030000,13.800000,13.648030,595300
2019-11-01,14.690000,15.500000,13.110000,13.230000,13.084307,419100
2019-12-01,13.000000,13.730000,12.440000,13.380000,13.380000,969600
2020-01-01,13.980000,15.510000,13.140000,13.150000,13.150000,844600
2020-02-01,12.950000,14.790000,11.870000,12.520000,12.520000,673300
2020-03-01,12.700000,13.050000,8.920000,10.710000,10.710000,1324100
2020-04-01,10.410000,11.700000,10.190000,10.790000,10.790000,722100
2020-05-01,11.310000,11.660000,10.240000,10.950000,10.950000,790600
2020-06-01,10.370000,11.300000,10.370000,10.810000,10.810000,405200
2020-06-15,10.310000,10.740000,10.310000,10.690000,10.690000,34387
