Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,33.560001,36.459999,33.080002,36.060001,30.024578,497482000
2015-08-01,36.290001,36.299999,28.469999,33.259998,27.693218,627017400
2015-09-01,31.459999,33.959999,30.639999,31.410000,26.357233,580612600
2015-10-01,31.299999,36.070000,31.100000,33.820000,28.379551,679709800
2015-11-01,34.169998,35.250000,30.990000,32.770000,27.498455,849907000
2015-12-01,33.000000,33.830002,31.840000,32.279999,27.305914,740264900
2016-01-01,31.850000,32.240002,29.590000,30.490000,25.791739,703021900
2016-02-01,30.340000,30.900000,28.250000,29.670000,25.098099,850735400
2016-03-01,29.790001,30.610001,28.740000,29.639999,25.324789,1044553500
2016-04-01,29.440001,33.500000,29.410000,32.709999,27.947832,1186276100
2016-05-01,32.560001,34.750000,32.500000,34.700001,29.648117,611622900
2016-06-01,34.700001,35.500000,33.529999,35.209999,30.353277,575249100
2016-07-01,35.150002,37.189999,35.119999,36.889999,31.801544,350803300
2016-08-01,37.020000,37.389999,34.610001,34.799999,29.999828,479724100
2016-09-01,34.730000,34.990002,33.299999,33.869999,29.440817,398195300
2016-10-01,33.730000,34.000000,31.610001,31.709999,27.563284,397091500
2016-11-01,30.940001,33.830002,29.830000,32.139999,27.937052,740937300
2016-12-01,32.250000,33.299999,30.510000,31.700001,27.829407,572325700
2017-01-01,32.700001,33.700001,30.900000,31.730000,27.855742,526191300
2017-02-01,31.510000,34.459999,31.260000,34.119999,29.953915,519070400
2017-03-01,34.270000,34.750000,33.720001,34.209999,30.338907,515406000
2017-04-01,34.110001,34.520000,33.470001,33.919998,30.081717,353037500
2017-05-01,33.889999,33.990002,31.969999,32.650002,28.955429,531420900
2017-06-01,32.669998,34.480000,31.670000,33.590000,30.077398,465512800
2017-07-01,33.480000,33.970001,32.689999,33.160000,29.692369,305432700
2017-08-01,33.040001,34.020000,32.320000,33.919998,30.372887,388679900
2017-09-01,33.939999,36.209999,33.750000,35.700001,32.279007,387075500
2017-10-01,35.669998,36.779999,34.099998,35.060001,31.700329,345560700
2017-11-01,35.009998,36.480000,34.799999,36.259998,32.785339,284986400
2017-12-01,36.290001,37.349998,35.150002,36.220001,33.048428,314792100
2018-01-01,36.380001,39.430000,36.230000,37.040001,33.796623,479581700
2018-02-01,36.610001,37.400002,33.200001,36.310001,33.130547,557684600
2018-03-01,36.119999,37.040001,34.320000,35.490002,32.682343,481192500
2018-04-01,35.419998,37.270000,34.759998,36.610001,33.713745,424062600
2018-05-01,35.580002,36.250000,34.369999,35.930000,33.087540,485553500
2018-06-01,36.259998,36.799999,35.730000,36.279999,33.735985,433961300
2018-07-01,36.000000,39.990002,36.000000,39.930000,37.130035,396825300
2018-08-01,39.630001,42.770000,39.490002,41.520000,38.608551,474885000
2018-09-01,41.480000,44.459999,41.220001,44.070000,41.328674,350653500
2018-10-01,44.029999,45.810001,41.660000,43.060001,40.381504,573682900
2018-11-01,43.200001,46.259998,42.349998,46.230000,43.354313,481866000
2018-12-01,46.369999,46.470001,40.419998,43.650002,41.250687,536815600
2019-01-01,43.119999,43.700001,39.470001,42.450001,40.116646,599578800
2019-02-01,42.869999,43.779999,41.209999,43.349998,41.324966,427804700
2019-03-01,43.610001,43.790001,40.340000,42.470001,40.486073,525812100
2019-04-01,42.580002,43.279999,38.419998,40.610001,38.712959,461322900
2019-05-01,40.590000,42.480000,39.869999,41.520000,39.580452,524538400
2019-06-01,41.630001,44.290001,41.570000,43.320000,41.662628,437559700
2019-07-01,43.509998,44.560001,38.509998,38.840000,37.354031,560639900
2019-08-01,38.310001,38.619999,33.970001,35.549999,34.189899,607551300
2019-09-01,35.610001,37.759998,35.509998,35.930000,34.878647,421168500
2019-10-01,35.930000,38.820000,34.599998,38.369999,37.247250,386255500
2019-11-01,38.689999,38.939999,36.299999,38.520000,37.392860,406258100
2019-12-01,38.790001,39.619999,37.790001,39.180000,38.401119,367286600
2020-01-01,39.299999,40.970001,36.689999,37.240002,36.499691,504588200
2020-02-01,37.459999,38.570000,32.529999,33.419998,33.090225,556804100
2020-03-01,33.910000,36.459999,27.879999,32.639999,32.317924,967378500
2020-04-01,31.920000,39.220001,31.530001,38.360001,37.981480,506119300
2020-05-01,37.849998,39.009998,36.590000,38.189999,37.813156,450598300
2020-06-01,35.500000,36.660000,33.049999,33.750000,33.750000,383808200
2020-06-15,33.299999,33.717999,32.759998,33.360001,33.360001,34291171
